Kategori,Kabupaten/Kota,Tahun,IKP_offstat,"IPM (Indeks 
Pembangunan Manusia)","Kepadatan Penduduk 
per km persegi (Km2)",Tingkat Pengangguran Terbuka (TPT) (Persen),Persentase Penduduk Miskin  (Persen),"Luas Panen 
Tanaman Padi 
(ha) (Ha)","Produktivitas 
Tanaman Padi 
(ku/ha) (Ku/ha)_offstat","Rekap Produksi 
Padi 
(ton) (Ton)_offstat",Jumlah bayi Gizi Kurang (Rb),Jumlah bayi (Rb),Prevalensi Bayi Gizi Kurang,IPM,Kemiskinan,TPT,Kepadatan_Penduduk,Prevalensi_Gizi_Kurang,PC1,PC2,PC3,PC4,PC5,IKP_cluster,"Rekap Produksi 
Padi 
(ton) (Ton)_cluster","Produktivitas 
Tanaman Padi 
(ku/ha) (Ku/ha)_cluster",Cluster,_merge
kabupaten,Magetan,2023,86.83,76.3,965.0,4.16,9.8,44424.0,63.16,280592.09,2731.0,45210.0,6.04069896,76.3,9.8,4.16,965,6.04069896,-0.0993921711970101,-0.1282834096838108,-0.3163918887973188,-0.4915624234246847,0.3944615674354434,86.83,280592.09,63.16,2,both
kabupaten,Magetan,2024,75.2782,76.77,970.0,3.28,9.32,43404.62,62.72,272246.05,21140.0,45240.0,46.7285588,76.77,9.32,3.28,970,46.7285588,-0.2181572911360361,2.527240050859676,0.2743678748565114,-0.2122469149917684,0.3638641008512631,75.2782,272246.05,62.72,1,both
kabupaten,Magetan,2025,78.30465,77.58,976.0,3.26,9.14,50411.0,61.14,308221.0,2826.0,44520.0,6.347708895,77.58,9.14,3.26,976,6.347708895,-0.0793720715458509,0.1509909644175719,-0.8308213324090991,-0.6607238383262544,0.5246889569177953,78.30465,308221.0,61.14,2,both
kabupaten,Malang,2021,79.85,71.48,756.0,5.4,10.5,45344.49,60.28,273358.61,7369.0,178370.0,4.131300107,71.48,10.5,5.4,756,4.131300107,-0.5050376633958917,-0.6758916468652526,0.5090355286434789,-0.3198910771956374,-0.277703343077921,79.85,273358.61,60.28,2,both
kabupaten,Malang,2022,79.26,72.23,773.0,6.57,9.55,45901.91,59.17,271606.78,430.0,180860.0,0.2377529581,72.23,9.55,6.57,773,0.2377529581,-0.02066355695665,-1.120670776410667,0.9387554257751846,-0.4468114935247817,-0.2516814238227099,79.26,271606.78,59.17,2,both
kabupaten,Malang,2023,79.97,73.0,782.0,5.7,9.45,43918.59,63.61,279365.91,6312.0,184420.0,3.422622275,73.0,9.45,5.7,782,3.422622275,-0.1230370739225511,-0.7095147381087132,0.5489157584121926,-0.4899334865716332,-0.1460341822426159,79.97,279365.91,63.61,2,both
kabupaten,Malang,2024,70.69207,73.53,788.0,5.13,8.98,41019.97,62.11,254793.72,60557.0,190210.0,31.83691709,73.53,8.98,5.13,788,31.83691709,-0.1549783433691397,1.144874889179371,0.9718204143271308,-0.3157992111097658,-0.1493360289271019,70.69207,254793.72,62.11,1,both
kabupaten,Malang,2025,69.76243,74.45,793.0,5.0,8.78,38178.0,64.53,246370.0,8462.0,200470.0,4.221080461,74.45,8.78,5.0,793,4.221080461,-0.0349606429629779,-0.4415047290881608,0.1399962079356293,-0.6467520513450095,0.011652966853708,69.76243,246370.0,64.53,2,both
kabupaten,Mojokerto,2021,84.46,74.9,1568.0,5.54,10.62,51258.22,57.95,297042.32,3332.0,87140.0,3.823731926,74.9,10.62,5.54,1568,3.823731926,0.1017505012974997,-0.6352572577112077,0.3119883246693289,-0.0928355654579781,0.162494520818465,84.46,297042.32,57.95,2,both
kabupaten,Mojokerto,2022,84.06,75.61,1151.0,4.83,9.71,49395.45,57.06,281829.41,329.0,86910.0,0.3785525256,75.61,9.71,4.83,1151,0.3785525256,0.0340921923347738,-0.6318353488807932,-0.1262008556341959,-0.4545163822991245,0.2493828406688345,84.06,281829.41,57.06,2,both
kabupaten,Mojokerto,2023,86.7,76.23,1163.0,4.67,9.8,53462.15,56.66,302890.75,1727.0,86310.0,2.000926891,76.23,9.8,4.67,1163,2.000926891,0.0603027679407784,-0.4855485079020201,-0.1907586396350622,-0.439161528532868,0.3568236883403167,86.7,302890.75,56.66,2,both
kabupaten,Mojokerto,2024,83.0181,76.69,1172.0,3.87,9.37,47296.06,60.41,285714.44,15512.0,84560.0,18.34437086,76.69,9.37,3.87,1172,18.34437086,-0.03068835261985,0.6978975037590707,-0.1951406054621197,-0.3921038157091937,0.3591124704279591,83.0181,285714.44,60.41,2,both
kabupaten,Mojokerto,2025,82.13511,77.46,1181.0,3.49,8.79,51751.0,60.37,312409.0,2189.0,79920.0,2.738988989,77.46,8.79,3.49,1181,2.738988989,0.0517387325951722,-0.1060748451571979,-0.8405288356549369,-0.6721237275226092,0.4364621299836533,82.13511,312409.0,60.37,2,both
kabupaten,Nganjuk,2021,82.17,73.03,906.0,4.98,11.85,72439.86,59.26,429311.01,4124.0,75940.0,5.430603108,73.03,11.85,4.98,906,5.430603108,-0.5500582151569049,-0.5085526202416929,0.272737946158144,-0.0960959644306134,0.0991708314362745,82.17,429311.01,59.26,2,both
kabupaten,Nganjuk,2022,81.82,73.95,867.0,4.74,10.7,70331.77,53.53,376476.43,863.0,76380.0,1.129876931,73.95,10.7,4.74,867,1.129876931,-0.3666006686975676,-0.6465390991068722,-0.0189699771050867,-0.3606364418663688,0.1330711732258015,81.82,376476.43,53.53,2,both
kabupaten,Nganjuk,2023,83.68,74.7,872.0,4.68,10.89,72039.49,58.04,418096.11,4379.0,76920.0,5.692927717,74.7,10.89,4.68,872,5.692927717,-0.3169357842434442,-0.3476805388986168,0.0408966326322542,-0.2983004759566272,0.2713474357508178,83.68,418096.11,58.04,2,both
kabupaten,Nganjuk,2024,71.41504,75.24,878.0,3.87,10.17,69685.57,58.11,404975.09,31806.0,77480.0,41.0505937,75.24,10.17,3.87,878,41.0505937,-0.3786194391179046,1.984276867953747,0.5191853234683348,-0.1072565530527923,0.2321253491020211,71.41504,404975.09,58.11,1,both
kabupaten,Nganjuk,2025,73.65652,75.89,883.0,3.84,10.06,76989.0,56.53,435224.0,4835.0,77750.0,6.218649518,75.89,10.06,3.84,883,6.218649518,-0.2731131433521481,-0.0654081955966008,-0.4374239564189036,-0.4870381982990158,0.3678276510647524,73.65652,435224.0,56.53,2,both
kabupaten,Ngawi,2021,83.86,71.97,674.0,4.25,15.57,128737.95,61.09,786475.65,3691.0,56510.0,6.53158733,71.97,15.57,4.25,674,6.53158733,-1.346784377210121,-0.4363596112550522,0.092778651420799,0.399608864863934,0.3736525401915825,83.86,786475.65,61.09,2,both
kabupaten,Ngawi,2022,85.01,72.62,629.0,2.48,14.15,128585.79,58.79,755938.95,1320.0,57010.0,2.315383266,72.62,14.15,2.48,629,2.315383266,-1.52483486678677,-0.2197895189502894,-0.9569691740163346,0.0071549965395609,0.3252363270003677,85.01,755938.95,58.79,2,both
kabupaten,Ngawi,2023,84.98,73.28,631.0,2.41,14.4,124922.92,61.74,771251.37,4864.0,57430.0,8.469441059,73.28,14.4,2.41,631,8.469441059,-1.496996973070884,0.1717522072270336,-0.8549334144222814,0.0948706282685471,0.4539093518777367,84.98,771251.37,61.74,2,both
kabupaten,Ngawi,2024,70.09828,73.91,633.0,2.4,13.81,123075.68,62.21,765703.53,35233.0,57390.0,61.39222861,73.91,13.81,2.4,633,61.39222861,-1.38694835162147,3.367569342004985,0.4828812313422446,0.5276469257993682,0.428141541407077,70.09828,765703.53,62.21,1,both
kabupaten,Ngawi,2025,76.56714,74.43,636.0,2.26,13.62,129013.0,59.88,772571.0,4601.0,56120.0,8.198503207,74.43,13.62,2.26,636,8.198503207,-1.302093161502204,0.2470877887728435,-1.004488661388691,-0.0553353664938213,0.5552113325535659,76.56714,772571.0,59.88,2,both
kabupaten,Pacitan,2021,79.49,69.45,424.0,2.04,15.11,18894.01,46.64,88116.57,1449.0,35580.0,4.072512648,69.45,15.11,2.04,424,4.072512648,-2.164817087281047,-0.1331810514178218,-0.9448652252154712,0.1347592424581148,-0.0601822255517382,79.49,88116.57,46.64,2,both
kabupaten,Pacitan,2022,77.73,70.19,414.0,3.65,13.8,17831.47,50.71,90428.21,1498.0,35940.0,4.168057874,70.19,13.8,3.65,414,4.168057874,-1.543363415428784,-0.427766731331274,-0.1937363643164608,0.0088291344233396,-0.0737014075343264,77.73,90428.21,50.71,2,both
kabupaten,Pacitan,2023,80.78,70.94,410.0,1.83,13.65,17923.4,51.88,92992.64,2080.0,36130.0,5.756988652,70.94,13.65,1.83,410,5.756988652,-1.868019640428676,0.1049367326747374,-1.099971222827364,-0.1171633138429838,0.021881649498377,80.78,92992.64,51.88,2,both
kabupaten,Pacitan,2024,70.73632,71.49,411.0,1.56,13.08,14602.85,47.7,69650.98,16715.0,35800.0,46.68994413,71.49,13.08,1.56,411,46.68994413,-1.823834974706916,2.641860749069483,-0.2017998275143115,0.1833698557270135,-0.0017598491891756,70.73632,69650.98,47.7,1,both
kabupaten,Pacitan,2025,72.07318,72.26,411.0,1.4,12.97,26774.0,49.49,132516.0,2476.0,34240.0,7.231308411,72.26,12.97,1.4,411,7.231308411,-1.733103365790548,0.348854262892336,-1.349022210309436,-0.2541890932163318,0.1594129506948236,72.07318,132516.0,49.49,2,both
kabupaten,Pamekasan,2021,76.18,68.78,1077.0,3.1,15.3,18925.74,51.11,96723.97,3641.0,70790.0,5.143381834,68.78,15.3,3.1,1077,5.143381834,-1.868235628090469,-0.3299682066582535,-0.4430790173992411,0.4537260182109851,-0.2562938146115547,76.18,96723.97,51.11,2,both
kabupaten,Pamekasan,2022,74.41,69.35,1079.0,1.4,13.93,20497.42,52.52,107648.71,454.0,71840.0,0.6319599109,69.35,13.93,1.4,1079,0.6319599109,-2.034289417509223,-0.1504400578326407,-1.467442573500148,0.0862962231935472,-0.3196023822007738,74.41,107648.71,52.52,2,both
kabupaten,Pamekasan,2023,79.44,70.32,1101.0,1.74,13.85,19884.36,54.56,108483.14,1583.0,72470.0,2.184352146,70.32,13.85,1.74,1101,2.184352146,-1.826284214600311,-0.106610234141683,-1.303364696776808,0.1009587208871984,-0.1722174009844906,79.44,108483.14,54.56,2,both
kabupaten,Pamekasan,2024,63.96125,70.85,1113.0,1.64,13.41,19637.62,51.69,101501.42,8103.0,72650.0,11.15347557,70.85,13.41,1.64,1113,11.15347557,-1.737534310357554,0.4803669750276299,-1.153171069149675,0.1123290696858677,-0.1472486335585801,63.96125,101501.42,51.69,2,both
kabupaten,Pamekasan,2025,63.52957,71.64,1123.0,1.33,12.77,24130.0,54.44,131369.0,896.0,72350.0,1.238424326,71.64,12.77,1.33,1123,1.238424326,-1.632373101933054,0.0025147905099876,-1.617039596715836,-0.1155032081992978,-0.0798977832028304,63.52957,131369.0,54.44,2,both
kabupaten,Pasuruan,2021,77.01,70.54,1093.0,6.03,9.7,50305.51,52.67,264950.78,10161.0,118670.0,8.562399933,70.54,9.7,6.03,1093,8.562399933,-0.2970842508178118,-0.5492183104840798,0.9177537103638344,-0.2428739801270112,-0.5813593905554089,77.01,264950.78,52.67,2,both
kabupaten,Pasuruan,2022,77.4,71.29,1084.0,5.91,8.96,47384.82,52.18,247255.72,875.0,117210.0,0.7465233342,71.29,8.96,5.91,1084,0.7465233342,-0.1454924233782869,-0.9426713654265708,0.6062668761955726,-0.4595323438084026,-0.529979611011686,77.4,247255.72,52.18,2,both
kabupaten,Pasuruan,2023,79.87,71.91,1101.0,5.48,9.24,48999.14,53.07,260061.94,6347.0,115870.0,5.477690515,71.91,9.24,5.48,1101,5.477690515,-0.2065182396211025,-0.5562969761539748,0.4909129593019998,-0.3970083552660498,-0.4074256228053729,79.87,260061.94,53.07,2,both
kabupaten,Pasuruan,2024,71.93884,72.36,1110.0,5.02,8.63,51087.0,54.29,277354.51,68239.0,115260.0,59.20440743,72.36,8.63,5.02,1110,59.20440743,-0.2202498767170932,2.785606886017418,1.63055096990329,0.0196874151528089,-0.4697979258930337,71.93884,277354.51,54.29,1,both
kabupaten,Pasuruan,2025,70.84142,73.02,1118.0,4.22,8.21,50784.0,54.01,274285.0,8467.0,116680.0,7.256599246,73.02,8.21,4.22,1118,7.256599246,-0.2465480693231847,-0.0990496495120259,-0.1668311023026229,-0.6256646306198922,-0.351341454347183,70.84142,274285.0,54.01,2,both
kabupaten,Ponorogo,2021,85.26,71.81,732.0,4.38,10.26,68741.09,58.87,404665.04,49.0,59380.0,0.08251936679,71.81,10.26,4.38,732,0.08251936679,-0.6808061530791789,-0.6689971047296616,-0.124282133518546,-0.4703787902051037,-0.2468046077437433,85.26,404665.04,58.87,2,both
kabupaten,Ponorogo,2022,86.2,72.59,680.0,5.51,9.32,62964.37,57.08,359413.77,1149.0,60660.0,1.894164194,72.59,9.32,5.51,680,1.894164194,-0.2228339152562656,-0.7644292027432155,0.4429811561317789,-0.5626379526948304,-0.2100076547050812,86.2,359413.77,57.08,2,both
kabupaten,Ponorogo,2023,87.91,73.18,676.0,4.66,9.53,66594.55,59.01,392994.08,3446.0,61800.0,5.57605178,73.18,9.53,4.66,676,5.57605178,-0.3821452970233978,-0.3437976163532215,0.0923707587638311,-0.5522319316373188,-0.0977240290298942,87.91,392994.08,59.01,2,both
kabupaten,Ponorogo,2024,69.50479,73.7,679.0,4.19,9.11,63395.6,59.82,379244.91,25770.0,62360.0,41.32456703,73.7,9.11,4.19,679,41.32456703,-0.4029441225216388,1.92329581785235,0.7589902291266346,-0.2910842758397284,-0.1048180409249298,69.50479,379244.91,59.82,1,both
kabupaten,Ponorogo,2025,71.21762,74.65,681.0,3.85,8.86,74200.0,58.8,436300.0,3293.0,61440.0,5.359700521,74.65,8.86,3.85,681,5.359700521,-0.3183823206639075,-0.1108616855807034,-0.3982555592911415,-0.7278997342743231,0.0648877383403641,71.21762,436300.0,58.8,2,both
kabupaten,Probolinggo,2021,69.8,68.94,681.0,4.55,18.91,37043.19,51.34,190180.14,9172.0,88210.0,10.39791407,68.94,18.91,4.55,681,10.39791407,-2.034235594261318,-0.469943453960667,0.545907267482511,1.029698137526156,0.2423866257247256,69.8,190180.14,51.34,2,both
kabupaten,Probolinggo,2022,73.0,69.56,673.0,3.25,17.12,33503.12,55.34,185412.51,1307.0,88170.0,1.482363616,69.56,17.12,3.25,673,1.482363616,-2.049266082731704,-0.627952132174661,-0.4026892396311308,0.5710912765987772,0.1496784106761214,73.0,185412.51,55.34,2,both
kabupaten,Probolinggo,2023,73.27,70.36,682.0,3.24,17.19,35121.69,57.24,201044.34,8044.0,87900.0,9.151308305,70.36,17.19,3.24,682,9.151308305,-1.968557171933859,-0.1496736225916153,-0.2418641550268296,0.6493875515774412,0.2786838712904103,73.27,201044.34,57.24,2,both
kabupaten,Probolinggo,2024,63.64236,70.85,687.0,3.0,16.45,33177.95,53.53,177607.38,55385.0,87340.0,63.41309824,70.85,16.45,3.0,687,63.41309824,-1.911370082658713,3.179778237762226,1.018118994206063,1.061965486115946,0.2096740659026031,63.64236,177607.38,53.53,1,both
kabupaten,Probolinggo,2025,68.15715,71.65,692.0,2.92,16.31,36946.0,53.08,196116.0,7889.0,86370.0,9.13395855,71.65,16.31,2.92,692,9.13395855,-1.784268398428371,-0.0134355364772351,-0.4789332788788954,0.475590444723014,0.3898132477389127,68.15715,196116.0,53.08,2,both
kabupaten,Sampang,2021,72.16,64.86,792.0,3.45,23.76,38151.91,51.27,195600.69,3673.0,83650.0,4.390914525,64.86,23.76,3.45,792,4.390914525,-3.326572872356314,-0.8542884066763526,0.1023262429163706,1.764959050252981,0.0926773717175202,72.16,195600.69,51.27,2,both
kabupaten,Sampang,2022,73.25,65.44,801.0,3.11,21.61,34880.84,49.45,172494.38,304.0,86470.0,0.3515670175,65.44,21.61,3.11,801,0.3515670175,-3.075981700039062,-0.9277139601443416,-0.245778568418404,1.360843444248059,-0.0501832357507404,73.25,172494.38,49.45,2,both
kabupaten,Sampang,2023,77.08,66.19,818.0,2.72,21.76,34795.54,48.05,167191.35,2021.0,88970.0,2.271552209,66.19,21.76,2.72,818,2.271552209,-3.09492669660124,-0.7101295639529717,-0.4229544256997796,1.374833327668115,0.0829035367948645,77.08,167191.35,48.05,2,both
kabupaten,Sampang,2024,63.85495,66.72,827.0,2.5,20.83,33068.93,44.13,145931.75,14646.0,91620.0,15.98559267,66.72,20.83,2.5,827,15.98559267,-2.979334926409046,0.2041582522364753,-0.2189005752707214,1.349393864750721,0.0473366202770476,63.85495,145931.75,44.13,2,both
kabupaten,Sampang,2025,63.38491,67.23,837.0,2.44,20.61,42337.0,44.86,189903.0,1620.0,95380.0,1.698469281,67.23,20.61,2.44,837,1.698469281,-2.895856552977852,-0.6131981536123281,-0.6505920845487345,1.162123063438719,0.1220100080429547,63.38491,189903.0,44.86,2,both
kabupaten,Sidoarjo,2021,83.57,81.01,3298.0,10.87,5.93,32586.19,62.14,202501.4,6732.0,146080.0,4.608433735,81.01,5.93,10.87,3298,4.608433735,3.034519486575343,-1.462981794717137,2.39889618891614,-0.0603333426245385,0.380738230147277,83.57,202501.4,62.14,3,both
kabupaten,Sidoarjo,2022,82.87,81.37,2905.0,8.8,5.36,31368.74,62.02,194540.45,424.0,145530.0,0.2913488628,81.37,5.36,8.8,2905,0.2913488628,2.570286449175675,-1.223827818302947,1.275149303460833,-0.443298589695455,0.4371700178175057,82.87,194540.45,62.02,3,both
kabupaten,Sidoarjo,2023,83.51,81.88,2968.0,8.05,5.0,31030.46,63.12,195855.35,4482.0,145430.0,3.08189507,81.88,5.0,8.05,2968,3.08189507,2.509346658156362,-0.8608341916767347,0.933456668763438,-0.5031141924155956,0.4628358008574805,83.51,195855.35,63.12,3,both
kabupaten,Sidoarjo,2024,74.63276,82.67,2999.0,6.49,4.53,32100.11,65.1,208986.7,24548.0,146080.0,16.80449069,82.67,4.53,6.49,2999,16.80449069,2.289498980313851,0.3489760844319106,0.4612729745751381,-0.5311084978567671,0.5102375562217426,74.63276,208986.7,65.1,3,both
kabupaten,Sidoarjo,2025,77.11782,83.35,3030.0,5.75,4.4,29004.0,60.57,175677.0,3565.0,147930.0,2.409923613,83.35,4.4,5.75,3030,2.409923613,2.22675409583179,-0.3190129940412946,-0.3225707208928991,-0.7407967427129107,0.6157411151920054,77.11782,175677.0,60.57,3,both
kabupaten,Situbondo,2021,77.58,69.34,412.0,3.68,12.63,30388.14,49.74,151157.12,3915.0,43770.0,8.944482522,69.34,12.63,3.68,412,8.944482522,-1.499464946790048,-0.1311983519963238,-0.041424202710188,-0.1120619904091605,-0.3497268941925693,77.58,151157.12,49.74,2,both
kabupaten,Situbondo,2022,76.31,69.76,418.0,3.38,11.78,26784.22,52.88,141628.0,991.0,45270.0,2.189087696,69.76,11.78,3.38,418,2.189087696,-1.413202970123934,-0.4252846421363793,-0.405507050944799,-0.3357985287503418,-0.3699042118646656,76.31,141628.0,52.88,2,both
kabupaten,Situbondo,2023,76.64,70.65,421.0,3.27,11.9,27917.32,56.34,157273.25,2843.0,46720.0,6.085188356,70.65,11.9,3.27,421,6.085188356,-1.350486457064053,-0.1487501814242632,-0.3954356977274666,-0.2969083498852322,-0.2154825454918159,76.64,157273.25,56.34,2,both
kabupaten,Situbondo,2024,70.4878,71.22,424.0,3.15,11.51,29935.08,54.2,162236.82,18223.0,48200.0,37.80705394,71.22,11.51,3.15,424,37.80705394,-1.283977534450959,1.799023982027818,0.3398979564698332,-0.0522540497426536,-0.20419270853419,70.4878,162236.82,54.2,1,both
kabupaten,Situbondo,2025,71.675,71.87,426.0,3.02,11.17,37251.0,53.47,199165.0,2720.0,49910.0,5.449809657,71.87,11.17,3.02,426,5.449809657,-1.176685187965849,-0.0723633169827459,-0.6066376377913602,-0.4498469818500711,-0.0971746463927616,71.675,199165.0,53.47,2,both
kabupaten,Sumenep,2021,76.17,67.74,565.0,2.31,20.51,40298.59,55.08,221979.41,1715.0,72100.0,2.378640777,67.74,20.51,2.31,565,2.378640777,-2.916966587455937,-0.5279659831908342,-0.6844685293396889,1.051835085495666,0.2398592676460197,76.17,221979.41,55.08,2,both
kabupaten,Sumenep,2022,74.01,68.49,545.0,1.36,18.76,41835.41,55.12,230581.31,73.0,75280.0,0.09697130712,68.49,18.76,1.36,545,0.09697130712,-2.845854540797617,-0.3678070428306158,-1.28735928729228,0.6810571066432576,0.169114028986896,74.01,230581.31,55.12,2,both
kabupaten,Sumenep,2023,77.02,69.13,550.0,1.71,18.7,42432.97,51.33,217810.48,1512.0,78390.0,1.928817451,69.13,18.7,1.71,550,1.928817451,-2.680798142459949,-0.3190505666080449,-1.093818548097977,0.7020453283015031,0.2669110194838152,77.02,217810.48,51.33,2,both
kabupaten,Sumenep,2024,73.78516,69.78,553.0,1.69,17.78,36761.47,51.55,189499.69,13827.0,81720.0,16.91997063,69.78,17.78,1.69,553,16.91997063,-2.507294986944779,0.6287822352752566,-0.7602890192284367,0.6989158155324002,0.252868992848017,73.78516,189499.69,51.55,2,both
